AW6jHxiZRnRNbAqZnomy,flog-2019.11.25,1.0,fluentd,wally117,1f7d6d735d5d4513ae1f7a5ac6888c45,default,2019-11-25 16:12:29.580,2019-11-25T16:12:29.580000000+01:00,INFO,6.0,"[instance: 34ae4417-14e7-44fa-b7a7-a154811ee7bc] memory limit not specified, defaulting to unlimited",f09ddef028834df19337502ece1490c5,nova-compute,0a5bfbed-f4f7-4a42-9333-2d99adb16cdd,nova.compute.claims,openstack.nova,default,-,,,,,,,,,,,
AW6jHxiZRnRNbAqZnomw,flog-2019.11.25,1.0,fluentd,wally117,1f7d6d735d5d4513ae1f7a5ac6888c45,default,2019-11-25 16:12:29.580,2019-11-25T16:12:29.580000000+01:00,INFO,6.0,"[instance: 34ae4417-14e7-44fa-b7a7-a154811ee7bc] Attempting claim on node wally117: memory 4096 MB, ",f09ddef028834df19337502ece1490c5,nova-compute,0a5bfbed-f4f7-4a42-9333-2d99adb16cdd,nova.compute.claims,openstack.nova,default,-,,,,,,,,,,,
AW6jHxiZRnRNbAqZnomx,flog-2019.11.25,1.0,fluentd,wally117,1f7d6d735d5d4513ae1f7a5ac6888c45,default,2019-11-25 16:12:29.580,2019-11-25T16:12:29.580000000+01:00,INFO,6.0,"[instance: 34ae4417-14e7-44fa-b7a7-a154811ee7bc] Total memory: 16013 MB, used: 512.00 MB",f09ddef028834df19337502ece1490c5,nova-compute,0a5bfbed-f4f7-4a42-9333-2d99adb16cdd,nova.compute.claims,openstack.nova,default,-,,,,,,,,,,,
AW6jHxiZRnRNbAqZnom0,flog-2019.11.25,1.0,fluentd,wally117,1f7d6d735d5d4513ae1f7a5ac6888c45,default,2019-11-25 16:12:29.581,2019-11-25T16:12:29.581000000+01:00,INFO,6.0,"[instance: 34ae4417-14e7-44fa-b7a7-a154811ee7bc] disk limit not specified, defaulting to unlimited",f09ddef028834df19337502ece1490c5,nova-compute,0a5bfbed-f4f7-4a42-9333-2d99adb16cdd,nova.compute.claims,openstack.nova,default,-,,,,,,,,,,,
AW6jHxiZRnRNbAqZnom1,flog-2019.11.25,1.0,fluentd,wally117,1f7d6d735d5d4513ae1f7a5ac6888c45,default,2019-11-25 16:12:29.581,2019-11-25T16:12:29.581000000+01:00,INFO,6.0,"[instance: 34ae4417-14e7-44fa-b7a7-a154811ee7bc] Total vcpu: 8 VCPU, used: 0.00 VCPU",f09ddef028834df19337502ece1490c5,nova-compute,0a5bfbed-f4f7-4a42-9333-2d99adb16cdd,nova.compute.claims,openstack.nova,default,-,,,,,,,,,,,
AW6jHxiZRnRNbAqZnomz,flog-2019.11.25,1.0,fluentd,wally117,1f7d6d735d5d4513ae1f7a5ac6888c45,default,2019-11-25 16:12:29.581,2019-11-25T16:12:29.581000000+01:00,INFO,6.0,"[instance: 34ae4417-14e7-44fa-b7a7-a154811ee7bc] Total disk: 9314 GB, used: 0.00 GB",f09ddef028834df19337502ece1490c5,nova-compute,0a5bfbed-f4f7-4a42-9333-2d99adb16cdd,nova.compute.claims,openstack.nova,default,-,,,,,,,,,,,
AW6jHxiZRnRNbAqZnom2,flog-2019.11.25,1.0,fluentd,wally117,1f7d6d735d5d4513ae1f7a5ac6888c45,default,2019-11-25 16:12:29.581,2019-11-25T16:12:29.581000000+01:00,INFO,6.0,"[instance: 34ae4417-14e7-44fa-b7a7-a154811ee7bc] vcpu limit not specified, defaulting to unlimited",f09ddef028834df19337502ece1490c5,nova-compute,0a5bfbed-f4f7-4a42-9333-2d99adb16cdd,nova.compute.claims,openstack.nova,default,-,,,,,,,,,,,
AW6jHxiZRnRNbAqZnom3,flog-2019.11.25,1.0,fluentd,wally117,1f7d6d735d5d4513ae1f7a5ac6888c45,default,2019-11-25 16:12:29.582,2019-11-25T16:12:29.582000000+01:00,INFO,6.0,[instance: 34ae4417-14e7-44fa-b7a7-a154811ee7bc] Claim successful on node wally117,f09ddef028834df19337502ece1490c5,nova-compute,0a5bfbed-f4f7-4a42-9333-2d99adb16cdd,nova.compute.claims,openstack.nova,default,-,,,,,,,,,,,
AW6jHxiZRnRNbAqZnonA,flog-2019.11.25,1.0,fluentd,wally117,1f7d6d735d5d4513ae1f7a5ac6888c45,default,2019-11-25 16:12:30.642,2019-11-25T16:12:30.642000000+01:00,INFO,6.0,[instance: 34ae4417-14e7-44fa-b7a7-a154811ee7bc] Creating image,f09ddef028834df19337502ece1490c5,nova-compute,0a5bfbed-f4f7-4a42-9333-2d99adb16cdd,nova.virt.libvirt.driver,openstack.nova,default,-,,,,,,,,,,,
AW6jH63mRnRNbAqZnoyd,flog-2019.11.25,1.0,fluentd,wally117,-,-,2019-11-25 16:13:11.266,2019-11-25T16:13:11.266000000+01:00,INFO,6.0,[instance: 34ae4417-14e7-44fa-b7a7-a154811ee7bc] VM Resumed (Lifecycle Event),-,nova-compute,803be4fa-7d86-42ad-b244-cbb565e7860e,nova.compute.manager,openstack.nova,-,-,,,,,,,,,,,
